year,acc,group
2015,3524,1
2015,117,1
2015,122,1
2015,1771,1
2015,1710,1
2015,302,1
2015,4332,1
2015,1430,1
2015,843,1
2015,749,1
2015,919,1
2015,4888,1
2015,1937,1
2015,4412,1
2015,4009,1
2015,116,1
2015,153,1
2015,50,1
2015,23,1
2015,1855,1
2015,957,1
2015,5306,1
2015,61,1
2015,9524,1
2015,3569,1
2015,154,1
2015,765,1
2015,10218,1
2015,1779,1
2015,22,1
2015,124,1
2015,36,1
2015,38,1
2015,1582,1
2015,0,1
2015,229,1
2016,4851,2
2016,103,2
2016,2445,2
2016,1425,2
2016,3527,2
2016,316,2
2016,4296,2
2016,2636,2
2016,1000,2
2016,734,2
2016,2681,2
2016,7215,2
2016,4064,2
2016,3774,2
2016,6780,2
2016,78,2
2016,146,2
2016,61,2
2016,41,2
2016,1036,2
2016,4584,2
2016,4282,2
2016,60,2
2016,9092,2
2016,5617,2
2016,165,2
2016,801,2
2016,8164,2
2016,1081,2
2016,16,2
2016,144,2
2016,40,2
2016,32,2
2016,1548,2
2016,1,2
2016,235,2
2017,2564,3
2017,103,3
2017,2474,3
2017,1045,3
2017,3878,3
2017,306,3
2017,3739,3
2017,1700,3
2017,907,3
2017,765,3
2017,3034,3
2017,3739,3
2017,3915,3
2017,5258,3
2017,6220,3
2017,107,3
2017,140,3
2017,55,3
2017,35,3
2017,4372,3
2017,4139,3
2017,3300,3
2017,60,3
2017,7061,3
2017,6110,3
2017,153,3
2017,727,3
2017,8706,3
2017,5199,3
2017,20,3
2017,103,3
2017,40,3
2017,36,3
2017,1565,3
2017,0,3
2017,221,3
2018,2998,4
2018,134,4
2018,2829,4
2018,3244,4
2018,4217,4
2018,248,4
2018,2176,4
2018,4806,4
2018,926,4
2018,809,4
2018,3261,4
2018,6093,4
2018,4069,4
2018,6721,4
2018,5098,4
2018,122,4
2018,165,4
2018,39,4
2018,35,4
2018,4861,4
2018,4479,4
2018,3295,4
2018,51,4
2018,3375,4
2018,6051,4
2018,194,4
2018,797,4
2018,9364,4
2018,5185,4
2018,18,4
2018,97,4
2018,52,4
2018,34,4
2018,1657,4
2018,1,4
2018,225,4
